U+4E00,一
U+4E01,丁
U+4E03,七
U+4E07,万
U+4E08,丈
U+4E09,三
U+4E0A,上
U+4E0B,下
U+4E0D,不
U+4E0E,与
U+4E11,丑
U+4E14,且
U+4E16,世
U+4E18,丘
U+4E19,丙
U+4E1E,丞
U+4E21,両
U+4E26,並
U+4E2D,中
U+4E32,串
U+4E38,丸
U+4E39,丹
U+4E3B,主
U+4E43,乃
U+4E45,久
U+4E4B,之
U+4E4D,乍
U+4E4E,乎
U+4E4F,乏
U+4E57,乗
U+4E59,乙
U+4E5D,九
U+4E5E,乞
U+4E5F,也
U+4E71,乱
U+4E73,乳
U+4E7E,乾
U+4E80,亀
U+4E86,了
U+4E88,予
U+4E89,争
U+4E8B,事
U+4E8C,二
U+4E91,云
U+4E92,互
U+4E94,五
U+4E95,井
U+4E98,亘
U+4E99,亙
U+4E9B,些
U+4E9C,亜
U+4EA1,亡
U+4EA4,交
U+4EA5,亥
U+4EA6,亦
U+4EA8,亨
U+4EAB,享
U+4EAC,京
U+4EAD,亭
U+4EAE,亮
U+4EBA,人
U+4EC0,什
U+4EC1,仁
U+4EC7,仇
U+4ECA,今
U+4ECB,介
U+4ECF,仏
U+4ED4,仔
U+4ED5,仕
U+4ED6,他
U+4ED8,付
U+4ED9,仙
U+4EE3,代
U+4EE4,令
U+4EE5,以
U+4EEE,仮
U+4EF0,仰
U+4EF2,仲
U+4EF6,件
U+4EFB,任
U+4F01,企
U+4F0A,伊
U+4F0D,伍
U+4F0E,伎
U+4F0F,伏
U+4F10,伐
U+4F11,休
U+4F1A,会
U+4F1D,伝
U+4F2F,伯
U+4F34,伴
U+4F36,伶
U+4F38,伸
U+4F3A,伺
U+4F3C,似
U+4F3D,伽
U+4F43,佃
U+4F46,但
U+4F4D,位
U+4F4E,低
U+4F4F,住
U+4F50,佐
U+4F51,佑
U+4F53,体
U+4F55,何
U+4F59,余
U+4F5C,作
U+4F73,佳
U+4F75,併
U+4F7C,佼
U+4F7F,使
U+4F83,侃
U+4F8B,例
U+4F8D,侍
U+4F9B,供
U+4F9D,依
U+4FA0,侠
U+4FA1,価
U+4FAD,侭
U+4FAE,侮
U+4FAF,侯
U+4FB5,侵
U+4FB6,侶
U+4FBF,便
U+4FC2,係
U+4FC3,促
U+4FC4,俄
U+4FCA,俊
U+4FD7,俗
U+4FDD,保
U+4FE1,信
U+4FE3,俣
U+4FEE,修
U+4FF3,俳
U+4FF5,俵
U+4FF8,俸
U+4FFA,俺
U+5009,倉
U+500B,個
U+500D,倍
U+5012,倒
U+5016,倖
U+5019,候
U+501F,借
U+5023,倣
U+5024,値
U+5026,倦
U+502B,倫
U+502D,倭
U+5036,倶
U+5039,倹
U+5049,偉
U+504F,偏
U+505C,停
U+5065,健
U+5072,偲
U+5074,側
U+5075,偵
U+5076,偶
U+507D,偽
U+508D,傍
U+5091,傑
U+5098,傘
U+5099,備
U+50AC,催
U+50AD,傭
U+50B5,債
U+50B7,傷
U+50BE,傾
U+50C5,僅
U+50CD,働
U+50CF,像
U+50D1,僑
U+50D5,僕
U+50DA,僚
U+50E7,僧
U+50FB,僻
U+5100,儀
U+5104,億
U+5112,儒
U+511F,償
U+512A,優
U+5132,儲
U+5141,允
U+5143,元
U+5144,兄
U+5145,充
U+5146,兆
U+5147,兇
U+5148,先
U+5149,光
U+514B,克
U+514D,免
U+514E,兎
U+5150,児
U+515A,党
U+515C,兜
U+5165,入
U+5168,全
U+516B,八
U+516C,公
U+516D,六
U+5171,共
U+5175,兵
U+5176,其
U+5177,具
U+5178,典
U+517C,兼
U+5185,内
U+5186,円
U+518A,冊
U+518D,再
U+5192,冒
U+5197,冗
U+5199,写
U+51A0,冠
U+51A5,冥
U+51A8,冨
U+51AC,冬
U+51B4,冴
U+51B6,冶
U+51B7,冷
U+51C4,凄
U+51C6,准
U+51CB,凋
U+51CC,凌
U+51CD,凍
U+51DD,凝
U+51E1,凡
U+51E6,処
U+51E7,凧
U+51EA,凪
U+51F1,凱
U+51F6,凶
U+51F8,凸
U+51F9,凹
U+51FA,出
U+51FD,函
U+5200,刀
U+5203,刃
U+5206,分
U+5207,切
U+5208,刈
U+520A,刊
U+5211,刑
U+5217,列
U+521D,初
U+5224,判
U+5225,別
U+5229,利
U+5230,到
U+5236,制
U+5237,刷
U+5238,券
U+523A,刺
U+523B,刻
U+5243,剃
U+5247,則
U+524A,削
U+524D,前
U+5256,剖
U+525B,剛
U+5263,剣
U+5264,剤
U+5265,剥
U+526F,副
U+5270,剰
U+5272,割
U+5275,創
U+5283,劃
U+5287,劇
U+5289,劉
U+529B,力
U+529F,功
U+52A0,加
U+52A3,劣
U+52A9,助
U+52AA,努
U+52AB,劫
U+52B1,励
U+52B4,労
U+52B9,効
U+52BE,劾
U+52C3,勃
U+52C5,勅
U+52C7,勇
U+52C9,勉
U+52D5,動
U+52D8,勘
U+52D9,務
U+52DD,勝
U+52DF,募
U+52E2,勢
U+52E4,勤
U+52E7,勧
U+52F2,勲
U+52FA,勺
U+52FE,勾
U+52FF,勿
U+5301,匁
U+5302,匂
U+5305,包
U+5316,化
U+5317,北
U+5319,匙
U+531D,匝
U+5320,匠
U+5321,匡
U+532A,匪
U+5339,匹
U+533A,区
U+533B,医
U+533F,匿
U+5341,十
U+5343,千
U+5347,升
U+5348,午
U+534A,半
U+5351,卑
U+5352,卒
U+5353,卓
U+5354,協
U+5357,南
U+5358,単
U+535A,博
U+535C,卜
U+5360,占
U+5366,卦
U+536F,卯
U+5370,印
U+5371,危
U+5373,即
U+5374,却
U+5375,卵
U+5378,卸
U+537F,卿
U+5384,厄
U+5398,厘
U+539A,厚
U+539F,原
U+53A8,厨
U+53A9,厩
U+53AD,厭
U+53B3,厳
U+53BB,去
U+53C2,参
U+53C8,又
U+53C9,叉
U+53CA,及
U+53CB,友
U+53CC,双
U+53CD,反
U+53CE,収
U+53D4,叔
U+53D6,取
U+53D7,受
U+53D9,叙
U+53DB,叛
U+53E1,叡
U+53E2,叢
U+53E3,口
U+53E4,古
U+53E5,句
U+53E9,叩
U+53EA,只
U+53EB,叫
U+53EC,召
U+53EF,可
U+53F0,台
U+53F1,叱
U+53F2,史
U+53F3,右
U+53F6,叶
U+53F7,号
U+53F8,司
U+5403,吃
U+5404,各
U+5408,合
U+5409,吉
U+540A,吊
U+540B,吋
U+540C,同
U+540D,名
U+540E,后
U+540F,吏
U+5410,吐
U+5411,向
U+541B,君
U+541F,吟
U+5420,吠
U+5426,否
U+542B,含
U+5438,吸
U+5439,吹
U+543B,吻
U+543E,吾
U+5442,呂
U+5446,呆
U+5448,呈
U+5449,呉
U+544A,告
U+5451,呑
U+5468,周
U+546A,呪
U+5473,味
U+547C,呼
U+547D,命
U+548B,咋
U+548C,和
U+54B2,咲
U+54B3,咳
U+54BD,咽
U+54C0,哀
U+54C1,品
U+54C9,哉
U+54E1,員
U+54E8,哨
U+54E9,哩
U+54F2,哲
U+5504,唄
U+5506,唆
U+5507,唇
U+5510,唐
U+5516,唖
U+552F,唯
U+5531,唱
U+553E,唾
U+5544,啄
U+5546,商
U+554F,問
U+5553,啓
U+5584,善
U+5589,喉
U+558B,喋
U+559A,喚
U+559C,喜
U+559D,喝
U+55A7,喧
U+55AA,喪
U+55AB,喫
U+55AC,喬
U+55B0,喰
U+55B6,営
U+55E3,嗣
U+5606,嘆
U+5609,嘉
U+5617,嘗
U+5618,嘘
U+5629,嘩
U+5631,嘱
U+5642,噂
U+564C,噌
U+565B,噛
U+5668,器
U+5674,噴
U+5678,噸
U+567A,噺
U+5687,嚇
U+56A2,嚢
U+56DA,囚
U+56DB,四
U+56DE,回
U+56E0,因
U+56E3,団
U+56F0,困
U+56F2,囲
U+56F3,図
U+56FA,固
U+56FD,国
U+5703,圃
U+570F,圏
U+5712,園
U+571F,土
U+5727,圧
U+5728,在
U+572D,圭
U+5730,地
U+5742,坂
U+5747,均
U+574A,坊
U+5750,坐
U+5751,坑
U+5764,坤
U+5766,坦
U+576A,坪
U+5782,垂
U+578B,型
U+57A2,垢
U+57A3,垣
U+57CB,埋
U+57CE,城
U+57DC,埜
U+57DF,域
U+57E0,埠
U+57F4,埴
U+57F7,執
U+57F9,培
U+57FA,基
U+57FC,埼
U+5800,堀
U+5802,堂
U+5805,堅
U+5806,堆
U+5815,堕
U+5824,堤
U+582A,堪
U+5830,堰
U+5831,報
U+5834,場
U+5835,堵
U+583A,堺
U+5840,塀
U+5841,塁
U+584A,塊
U+5851,塑
U+5854,塔
U+5857,塗
U+5858,塘
U+5859,塙
U+585A,塚
U+585E,塞
U+5869,塩
U+586B,填
U+5875,塵
U+587E,塾
U+5883,境
U+5893,墓
U+5897,増
U+589C,墜
U+58A8,墨
U+58B3,墳
U+58BE,墾
U+58C1,壁
U+58C7,壇
U+58CA,壊
U+58CC,壌
U+58D5,壕
U+58EB,士
U+58EC,壬
U+58EE,壮
U+58F0,声
U+58F1,壱
U+58F2,売
U+58F7,壷
U+5909,変
U+590F,夏
U+5915,夕
U+5916,外
U+5919,夙
U+591A,多
U+591C,夜
U+5922,夢
U+5927,大
U+5929,天
U+592A,太
U+592B,夫
U+592E,央
U+5931,失
U+5937,夷
U+5944,奄
U+5947,奇
U+5948,奈
U+5949,奉
U+594F,奏
U+5951,契
U+5954,奔
U+5957,套
U+5965,奥
U+5968,奨
U+596A,奪
U+596E,奮
U+5973,女
U+5974,奴
U+597D,好
U+5982,如
U+5983,妃
U+5984,妄
U+598A,妊
U+5993,妓
U+5996,妖
U+5999,妙
U+59A5,妥
U+59A8,妨
U+59AC,妬
U+59B9,妹
U+59BB,妻
U+59BE,妾
U+59C9,姉
U+59CB,始
U+59D0,姐
U+59D1,姑
U+59D3,姓
U+59D4,委
U+59E5,姥
U+59E6,姦
U+59EA,姪
U+59EB,姫
U+59F6,姶
U+59FB,姻
U+59FF,姿
U+5A01,威
U+5A03,娃
U+5A18,娘
U+5A20,娠
U+5A29,娩
U+5A2F,娯
U+5A3C,娼
U+5A41,婁
U+5A46,婆
U+5A5A,婚
U+5A66,婦
U+5A7F,婿
U+5A92,媒
U+5A9B,媛
U+5AC1,嫁
U+5AC9,嫉
U+5ACC,嫌
U+5AE1,嫡
U+5B09,嬉
U+5B22,嬢
U+5B2C,嬬
U+5B30,嬰
U+5B50,子
U+5B54,孔
U+5B57,字
U+5B58,存
U+5B5C,孜
U+5B5D,孝
U+5B5F,孟
U+5B63,季
U+5B64,孤
U+5B66,学
U+5B6B,孫
U+5B85,宅
U+5B87,宇
U+5B88,守
U+5B89,安
U+5B8B,宋
U+5B8C,完
U+5B8D,宍
U+5B8F,宏
U+5B95,宕
U+5B97,宗
U+5B98,官
U+5B99,宙
U+5B9A,定
U+5B9B,宛
U+5B9C,宜
U+5B9D,宝
U+5B9F,実
U+5BA2,客
U+5BA3,宣
U+5BA4,室
U+5BA5,宥
U+5BAE,宮
U+5BB0,宰
U+5BB3,害
U+5BB4,宴
U+5BB5,宵
U+5BB6,家
U+5BB9,容
U+5BBF,宿
U+5BC2,寂
U+5BC4,寄
U+5BC5,寅
U+5BC6,密
U+5BCC,富
U+5BD2,寒
U+5BD3,寓
U+5BDB,寛
U+5BDD,寝
U+5BDF,察
U+5BE1,寡
U+5BE7,寧
U+5BE9,審
U+5BEE,寮
U+5BF5,寵
U+5BF8,寸
U+5BFA,寺
U+5BFE,対
U+5BFF,寿
U+5C01,封
U+5C02,専
U+5C04,射
U+5C06,将
U+5C09,尉
U+5C0A,尊
U+5C0B,尋
U+5C0E,導
U+5C0F,小
U+5C11,少
U+5C16,尖
U+5C1A,尚
U+5C24,尤
U+5C2D,尭
U+5C31,就
