U+4E10,丐
U+4E15,丕
U+4E17,丗
U+4E2A,个
U+4E31,丱
U+4E36,丶
U+4E3C,丼
U+4E3F,丿
U+4E42,乂
U+4E55,乕
U+4E56,乖
U+4E58,乘
U+4E62,乢
U+4E82,亂
U+4E85,亅
U+4E8A,亊
U+4E8E,于
U+4E9E,亞
U+4E9F,亟
U+4EA0,亠
U+4EA2,亢
U+4EB0,亰
U+4EB3,亳
U+4EB6,亶
U+4EC2,仂
U+4EC4,仄
U+4EC6,仆
U+4ECD,仍
U+4ECE,从
U+4ED7,仗
U+4EDE,仞
U+4EDF,仟
U+4EED,仭
U+4EF7,价
U+4F09,伉
U+4F1C,伜
U+4F30,估
U+4F47,佇
U+4F57,佗
U+4F5A,佚
U+4F5B,佛
U+4F5D,佝
U+4F5E,佞
U+4F69,佩
U+4F6F,佯
U+4F70,佰
U+4F76,佶
U+4F7B,佻
U+4F86,來
U+4F88,侈
U+4F8F,侏
U+4F91,侑
U+4F96,侖
U+4F98,侘
U+4FAB,侫
U+4FCE,俎
U+4FD0,俐
U+4FD1,俑
U+4FD4,俔
U+4FD8,俘
U+4FDA,俚
U+4FDB,俛
U+4FDF,俟
U+4FE4,俤
U+4FE5,俥
U+4FEF,俯
U+4FF6,俶
U+4FFE,俾
U+5005,倅
U+5006,倆
U+500F,倏
U+5011,們
U+5014,倔
U+501A,倚
U+5021,倡
U+5025,倥
U+5028,倨
U+5029,倩
U+502A,倪
U+502C,倬
U+5043,偃
U+5047,假
U+5048,偈
U+5050,偐
U+5055,偕
U+5056,偖
U+505A,做
U+506C,偬
U+5078,偸
U+5080,傀
U+5085,傅
U+509A,傚
U+50B2,傲
U+50B3,傳
U+50B4,傴
U+50C2,僂
U+50C9,僉
U+50CA,僊
U+50D6,僖
U+50DE,僞
U+50E3,僣
U+50E5,僥
U+50ED,僭
U+50EE,僮
U+50F5,僵
U+50F9,價
U+5101,儁
U+5102,儂
U+5109,儉
U+5114,儔
U+5115,儕
U+5116,儖
U+5118,儘
U+511A,儚
U+5121,儡
U+5137,儷
U+513A,儺
U+513B,儻
U+513C,儼
U+513F,儿
U+5140,兀
U+514C,兌
U+5152,兒
U+5154,兔
U+5162,兢
U+5169,兩
U+516A,兪
U+516E,兮
U+5180,冀
U+5182,冂
U+5189,冉
U+518C,册
U+518F,冏
U+5190,冐
U+5191,冑
U+5193,冓
U+5195,冕
U+5196,冖
U+51A2,冢
U+51A4,冤
U+51A6,冦
U+51A9,冩
U+51AA,冪
U+51AB,冫
U+51B0,冰
U+51B1,冱
U+51B2,冲
U+51B3,决
U+51B5,况
U+51BD,冽
U+51C5,凅
U+51C9,凉
U+51D6,凖
U+51DB,凛
U+51DC,凜
U+51E0,几
U+51E9,凩
U+51ED,凭
U+51F0,凰
U+51F5,凵
U+51FE,凾
U+5204,刄
U+520B,刋
U+520E,刎
U+5214,刔
U+5227,刧
U+522A,刪
U+522E,刮
U+5233,刳
U+5239,刹
U+5244,剄
U+524B,剋
U+524C,剌
U+524F,剏
U+5254,剔
U+525E,剞
U+5269,剩
U+526A,剪
U+5271,剱
U+5273,剳
U+5274,剴
U+527D,剽
U+527F,剿
U+5288,劈
U+528D,劍
U+5291,劑
U+5292,劒
U+5294,劔
U+52AC,劬
U+52AD,劭
U+52B5,劵
U+52BC,劼
U+52C1,勁
U+52CD,勍
U+52D2,勒
U+52D7,勗
U+52DE,勞
U+52E0,勠
U+52E3,勣
U+52E6,勦
U+52F3,勳
U+52F5,勵
U+52F8,勸
U+52F9,勹
U+5306,匆
U+5308,匈
U+530D,匍
U+530F,匏
U+5310,匐
U+5315,匕
U+531A,匚
U+5323,匣
U+532F,匯
U+5331,匱
U+5333,匳
U+5338,匸
U+5340,區
U+5345,卅
U+5346,卆
U+5349,卉
U+534D,卍
U+535E,卞
U+5369,卩
U+536E,卮
U+5377,卷
U+537B,卻
U+5382,厂
U+5396,厖
U+53A0,厠
U+53A5,厥
U+53A6,厦
U+53AE,厮
U+53B0,厰
U+53B6,厶
U+53C3,參
U+53DF,叟
U+53E8,叨
U+53ED,叭
U+53EE,叮
U+53FA,叺
U+5401,吁
U+541D,吝
U+5429,吩
U+542C,听
U+542D,吭
U+542E,吮
U+5436,吶
U+543C,吼
U+543D,吽
U+5440,呀
U+544E,呎
U+545F,呟
U+5470,呰
U+5471,呱
U+5475,呵
U+5476,呶
U+5477,呷
U+547B,呻
U+5480,咀
U+5484,咄
U+5486,咆
U+548E,咎
U+548F,咏
U+5490,咐
U+5492,咒
U+54A2,咢
U+54A4,咤
U+54A5,咥
U+54A8,咨
U+54AB,咫
U+54AC,咬
U+54AF,咯
U+54B8,咸
U+54BC,咼
U+54BE,咾
U+54C2,哂
U+54C4,哄
U+54C7,哇
U+54C8,哈
U+54D8,哘
U+54E2,哢
U+54E5,哥
U+54E6,哦
U+54ED,哭
U+54EE,哮
U+54FA,哺
U+54FD,哽
U+550F,唏
U+5514,唔
U+552E,售
U+5533,唳
U+5538,唸
U+5539,唹
U+5540,啀
U+5545,啅
U+554C,啌
U+5556,啖
U+5557,啗
U+555C,啜
U+555D,啝
U+5563,啣
U+557B,啻
U+557C,啼
U+557E,啾
U+5580,喀
U+5583,喃
U+5587,喇
U+558A,喊
U+5598,喘
U+5599,喙
U+559E,喞
U+559F,喟
U+55A8,喨
U+55A9,喩
U+55AE,單
U+55C4,嗄
U+55C5,嗅
U+55C7,嗇
U+55D4,嗔
U+55DA,嗚
U+55DC,嗜
U+55DF,嗟
U+55E4,嗤
U+55F7,嗷
U+55F9,嗹
U+55FD,嗽
U+55FE,嗾
U+5614,嘔
U+5616,嘖
U+561B,嘛
U+562F,嘯
U+5632,嘲
U+5634,嘴
U+5636,嘶
U+5638,嘸
U+564E,噎
U+5650,噐
U+5664,噤
U+566A,噪
U+566B,噫
U+566C,噬
U+5680,嚀
U+5686,嚆
U+568A,嚊
U+568F,嚏
U+5694,嚔
U+56A0,嚠
U+56A5,嚥
U+56AE,嚮
U+56B4,嚴
U+56B6,嚶
U+56BC,嚼
U+56C0,囀
U+56C1,囁
U+56C2,囂
U+56C3,囃
U+56C8,囈
U+56CE,囎
U+56D1,囑
U+56D3,囓
U+56D7,囗
U+56D8,囘
U+56EE,囮
U+56F9,囹
U+56FF,囿
U+5700,圀
U+5704,圄
U+5708,圈
U+5709,圉
U+570B,國
U+570D,圍
U+5713,圓
U+5716,圖
U+5718,團
U+571C,圜
U+5726,圦
U+5737,圷
U+5738,圸
U+573B,圻
U+5740,址
U+574E,坎
U+574F,坏
U+5761,坡
U+5769,坩
U+577F,坿
U+5788,垈
U+5789,垉
U+5793,垓
U+57A0,垠
U+57A4,垤
U+57AA,垪
U+57B0,垰
U+57B3,垳
U+57C0,埀
U+57C3,埃
U+57C6,埆
U+57D2,埒
U+57D3,埓
U+57D4,埔
U+57D6,埖
U+57E3,埣
U+580A,堊
U+580B,堋
U+5819,堙
U+581D,堝
U+5821,堡
U+582F,堯
U+583D,堽
U+584B,塋
U+5852,塒
U+5862,塢
U+5870,塰
U+5872,塲
U+5879,塹
U+5885,墅
U+589F,墟
U+58AB,墫
U+58AE,墮
U+58B8,墸
U+58B9,墹
U+58BA,墺
U+58BB,墻
U+58C5,壅
U+58D1,壑
U+58D3,壓
U+58D7,壗
U+58D8,壘
U+58D9,壙
U+58DC,壜
U+58DE,壞
U+58DF,壟
U+58E4,壤
U+58E5,壥
U+58EF,壯
U+58F9,壹
U+58FA,壺
U+58FB,壻
U+58FC,壼
U+58FD,壽
U+5902,夂
U+590A,夊
U+5910,夐
U+5918,夘
U+591B,夛
U+5925,夥
U+592C,夬
U+592D,夭
U+5932,夲
U+5938,夸
U+593E,夾
U+594E,奎
U+5950,奐
U+5955,奕
U+5958,奘
U+595A,奚
U+5960,奠
U+5962,奢
U+5967,奧
U+5969,奩
U+596C,奬
U+5978,奸
U+5981,妁
U+598D,妍
U+599B,妛
U+599D,妝
U+59A3,妣
U+59B2,妲
U+59C6,姆
U+59D9,姙
U+59DA,姚
U+59DC,姜
U+59E8,姨
U+5A09,娉
U+5A11,娑
U+5A1A,娚
U+5A1C,娜
U+5A1F,娟
U+5A25,娥
U+5A35,娵
U+5A36,娶
U+5A40,婀
U+5A49,婉
U+5A62,婢
U+5A6A,婪
U+5A6C,婬
U+5A9A,媚
U+5ABC,媼
U+5ABD,媽
U+5ABE,媾
U+5AC2,嫂
U+5ACB,嫋
U+5AD0,嫐
U+5AD6,嫖
U+5AD7,嫗
U+5AE3,嫣
U+5AE6,嫦
U+5AE9,嫩
U+5AFA,嫺
U+5AFB,嫻
U+5B0B,嬋
U+5B0C,嬌
U+5B16,嬖
U+5B2A,嬪
U+5B32,嬲
U+5B36,嬶
U+5B3E,嬾
U+5B40,孀
U+5B43,孃
U+5B45,孅
U+5B51,孑
U+5B55,孕
U+5B5A,孚
U+5B5B,孛
U+5B65,孥
U+5B69,孩
U+5B70,孰
U+5B71,孱
U+5B73,孳
U+5B75,孵
U+5B78,學
U+5B7A,孺
U+5B80,宀
U+5B83,它
U+5BA6,宦
U+5BB8,宸
U+5BC3,寃
U+5BC7,寇
U+5BC9,寉
U+5BD0,寐
U+5BD4,寔
U+5BDE,寞
