U+3402,㐂
U+34B5,㒵
U+34DB,㓛
U+378D,㞍
U+37E2,㟢
U+3B22,㬢
U+3BB6,㮶
U+3BC3,㯃
U+3C0F,㰏
U+3E3F,㸿
U+3F72,㽲
U+4264,䉤
U+4453,䑓
U+445B,䑛
U+459D,䖝
U+45EA,䗪
U+4844,䡄
U+49B0,䦰
U+4C17,䰗
U+4E28,丨
U+4E2F,丯
U+4E30,丰
U+4E8D,亍
U+4EE1,仡
U+4EFD,份
U+4EFF,仿
U+4F03,伃
U+4F0B,伋
U+4F48,佈
U+4F49,佉
U+4F56,佖
U+4F5F,佟
U+4F60,你
U+4F6A,佪
U+4F6C,佬
U+4F7E,佾
U+4F8A,侊
U+4F94,侔
U+4F97,侗
U+4FC9,俉
U+4FE0,俠
U+4FF1,俱
U+5001,倁
U+5002,倂
U+500E,倎
U+5018,倘
U+5027,倧
U+502E,倮
U+503B,倻
U+5040,偀
U+5041,偁
U+5094,傔
U+50CC,僌
U+50D0,僐
U+50E6,僦
U+50F2,僲
U+5103,儃
U+5106,儆
U+510B,儋
U+511E,儞
U+5135,儵
U+514A,兊
U+5155,兕
U+5157,兗
U+519D,冝
U+51C3,凃
U+51CA,凊
U+51DE,凞
U+51E2,凢
U+51EE,凮
U+5201,刁
U+5213,刓
U+5215,刕
U+5249,剉
U+5257,剗
U+525D,剝
U+5261,剡
U+5293,劓
U+52C8,勈
U+52CC,勌
U+52D0,勐
U+52D6,勖
U+52DB,勛
U+52F0,勰
U+52FB,勻
U+5300,匀
U+5307,匇
U+531C,匜
U+5361,卡
U+5363,卣
U+537D,卽
U+5393,厓
U+539D,厝
U+53B2,厲
U+5412,吒
U+541E,吞
U+5427,吧
U+544D,呍
U+546B,呫
U+5474,呴
U+547F,呿
U+5488,咈
U+5496,咖
U+549C,咜
U+54A1,咡
U+54A9,咩
U+54C6,哆
U+54FF,哿
U+550E,唎
U+552B,唫
U+5535,唵
U+5550,啐
U+555E,啞
U+5581,喁
U+5586,喆
U+558E,喎
U+55AD,喭
U+55CE,嗎
U+5608,嘈
U+560E,嘎
U+563B,嘻
U+5649,噉
U+5653,噓
U+5666,噦
U+566F,噯
U+5671,噱
U+5672,噲
U+5676,噶
U+5699,嚙
U+569E,嚞
U+56A9,嚩
U+56AC,嚬
U+56B3,嚳
U+56C9,囉
U+56CA,囊
U+570A,圊
U+5721,圡
U+572F,圯
U+5733,圳
U+5734,圴
U+5770,坰
U+5777,坷
U+577C,坼
U+579C,垜
U+57B8,垸
U+57C7,埇
U+57C8,埈
U+57CF,埏
U+57E4,埤
U+57ED,埭
U+57F5,埵
U+57F6,埶
U+57FF,埿
U+5809,堉
U+5861,塡
U+5864,塤
U+587C,塼
U+5889,墉
U+589E,增
U+58A9,墩
U+58CE,壎
U+58D2,壒
U+58D4,壔
U+58DA,壚
U+58E0,壠
U+58E9,壩
U+590C,夌
U+595D,奝
U+596D,奭
U+598B,妋
U+5992,妒
U+59A4,妤
U+59C3,姃
U+59D2,姒
U+59DD,姝
U+59F8,姸
U+5A13,娓
U+5A23,娣
U+5A67,婧
U+5A6D,婭
U+5A77,婷
U+5A7E,婾
U+5A84,媄
U+5A9E,媞
U+5AA7,媧
U+5AC4,嫄
U+5B19,嬙
U+5B25,嬥
U+5B41,孁
U+5B56,孖
U+5B7D,孽
U+5B93,宓
U+5BD8,寘
U+5BEC,寬
U+5C12,尒
U+5C1E,尞
U+5C23,尣
U+5C2B,尫
U+5C5B,屛
U+5C62,屢
U+5C7A,屺
U+5C8F,岏
U+5C9F,岟
U+5CA3,岣
U+5CAA,岪
U+5CBA,岺
U+5CCB,峋
U+5CD0,峐
U+5CD2,峒
U+5CF4,峴
U+5D0D,崍
U+5D27,崧
U+5D46,嵆
U+5D47,嵇
U+5D4A,嵊
U+5D53,嵓
U+5D6D,嵭
U+5D81,嶁
U+5DA0,嶠
U+5DA4,嶤
U+5DA7,嶧
U+5DB8,嶸
U+5DCB,巋
U+5DE2,巢
U+5E14,帔
U+5E18,帘
U+5E58,幘
U+5E5E,幞
U+5E77,幷
U+5EBE,庾
U+5ECB,廋
U+5EF9,廹
U+5F00,开
U+5F02,异
U+5F07,弇
U+5F1D,弝
U+5F23,弣
U+5F34,弴
U+5F36,弶
U+5F3D,弽
U+5F40,彀
U+5F45,彅
U+5F54,彔
U+5F58,彘
U+5F64,彤
U+5F67,彧
U+5F7D,彽
U+5F89,徉
U+5F9C,徜
U+5FA7,徧
U+5FAF,徯
U+5FB5,徵
U+5FB7,德
U+5FC9,忉
U+5FDE,忞
U+5FE1,忡
U+5FE9,忩
U+600D,怍
U+6014,怔
U+6018,怘
U+6033,怳
U+6035,怵
U+6047,恇
U+609D,悝
U+609E,悞
U+60CB,惋
U+60D4,惔
U+60D5,惕
U+60DD,惝
U+60F8,惸
U+611C,愜
U+612B,愫
U+6130,愰
U+6137,愷
U+618D,憍
U+61B9,憹
U+61BC,憼
U+6222,戢
U+623E,戾
U+6243,扃
U+6256,扖
U+625A,扚
U+626F,扯
U+6285,抅
U+62C4,拄
U+62D6,拖
U+62FC,拼
U+630A,挊
U+6318,挘
U+6339,挹
U+6343,捃
U+6365,捥
U+637C,捼
U+63E5,揥
U+63ED,揭
U+63F5,揵
U+6410,搐
U+6414,搔
U+6422,搢
U+6451,摑
U+6460,摠
U+646D,摭
U+6479,摹
U+64BE,撾
U+64BF,撿
U+64C4,擄
U+64CA,擊
U+64CE,擎
U+64D0,擐
U+64F7,擷
U+64FB,擻
U+6522,攢
U+6529,攩
U+6567,敧
U+659D,斝
U+6600,昀
U+6609,昉
U+6615,昕
U+661E,昞
U+6622,昢
U+6624,昤
U+662B,昫
U+6630,昰
U+6631,昱
U+6633,昳
U+663A,昺
U+6648,晈
U+664C,晌
U+6659,晙
U+665A,晚
U+6661,晡
U+6665,晥
U+6673,晳
