U+3406,㐆
U+342C,㐬
U+342E,㐮
U+3468,㑨
U+346A,㑪
U+3492,㒒
U+34BC,㒼
U+34C1,㓁
U+34C7,㓇
U+351F,㔟
U+355D,㕝
U+355E,㕞
U+3563,㕣
U+356E,㕮
U+35A6,㖦
U+35A8,㖨
U+35C5,㗅
U+35DA,㗚
U+35F4,㗴
U+3605,㘅
U+364A,㙊
U+3691,㚑
U+3696,㚖
U+3699,㚙
U+36CF,㛏
U+3761,㝡
U+3762,㝢
U+376B,㝫
U+376C,㝬
U+3775,㝵
U+37C1,㟁
U+37E8,㟨
U+37F4,㟴
U+37FD,㟽
U+3800,㠀
U+382F,㠯
U+3836,㠶
U+3840,㡀
U+385C,㡜
U+3861,㡡
U+38FA,㣺
U+3917,㤗
U+391A,㤚
U+396F,㥯
U+3A6E,㩮
U+3A73,㩳
U+3AD6,㫖
U+3AD7,㫗
U+3AEA,㫪
U+3B0E,㬎
U+3B1A,㬚
U+3B1C,㬜
U+3B6D,㭭
U+3B77,㭷
U+3B87,㮇
U+3B88,㮈
U+3B8D,㮍
U+3BA4,㮤
U+3BCD,㯍
U+3BF0,㯰
U+3C26,㰦
U+3CC3,㳃
U+3CD2,㳒
U+3D11,㴑
U+3D1E,㴞
U+3D64,㵤
U+3D9A,㶚
U+3DC0,㷀
U+3DD4,㷔
U+3E05,㸅
U+3E60,㹠
U+3E66,㹦
U+3E68,㹨
U+3E83,㺃
U+3E94,㺔
U+3F57,㽗
U+3F75,㽵
U+3F77,㽷
U+3FAE,㾮
U+3FC9,㿉
U+3FD7,㿗
U+4039,䀹
U+4058,䁘
U+4093,䂓
U+4105,䄅
U+4148,䅈
U+414F,䅏
U+4163,䅣
U+41B4,䆴
U+41BF,䆿
U+41E6,䇦
U+41EE,䇮
U+41F3,䇳
U+4207,䈇
U+420E,䈎
U+42C6,䋆
U+42D6,䋖
U+42DD,䋝
U+4302,䌂
U+432B,䌫
U+4343,䍃
U+43EE,䏮
U+43F0,䏰
U+4408,䐈
U+4417,䐗
U+441C,䐜
U+4422,䐢
U+4476,䑶
U+447A,䑺
U+4491,䒑
U+44B3,䒳
U+44BE,䒾
U+44D4,䓔
U+4508,䔈
U+450D,䔍
U+4525,䔥
U+4543,䕃
U+45B8,䖸
U+45E5,䗥
U+460F,䘏
U+4641,䙁
U+4665,䙥
U+46A1,䚡
U+46AF,䚯
