U+4E00,一
U+4E03,七
U+4E09,三
U+4E0A,上
U+4E0B,下
U+4E2D,中
U+4E5D,九
U+4E8C,二
U+4E94,五
U+4EBA,人
U+4F11,休
U+5148,先
U+5165,入
U+516B,八
U+516D,六
U+5186,円
U+51FA,出
U+529B,力
U+5341,十
U+5343,千
U+53E3,口
U+53F3,右
U+540D,名
U+56DB,四
U+571F,土
U+5915,夕
U+5927,大
U+5929,天
U+5973,女
U+5B50,子
U+5B57,字
U+5B66,学
U+5C0F,小
U+5C71,山
U+5DDD,川
U+5DE6,左
U+5E74,年
U+624B,手
U+6587,文
U+65E5,日
U+65E9,早
U+6708,月
U+6728,木
U+672C,本
U+6751,村
U+6797,林
U+6821,校
U+68EE,森
U+6B63,正
U+6C17,気
U+6C34,水
U+706B,火
U+72AC,犬
U+7389,玉
U+738B,王
U+751F,生
U+7530,田
U+7537,男
U+753A,町
U+767D,白
U+767E,百
U+76EE,目
U+77F3,石
U+7A7A,空
U+7ACB,立
U+7AF9,竹
U+7CF8,糸
U+8033,耳
U+82B1,花
U+8349,草
U+866B,虫
U+898B,見
U+8C9D,貝
U+8D64,赤
U+8DB3,足
U+8ECA,車
U+91D1,金
U+96E8,雨
U+9752,青
U+97F3,音
