U+4E0D,不
U+4E89,争
U+4ED8,付
U+4EE4,令
U+4EE5,以
U+4EF2,仲
U+4F1D,伝
U+4F4D,位
U+4F4E,低
U+4F8B,例
U+4FBF,便
U+4FE1,信
U+5009,倉
U+5019,候
U+501F,借
U+505C,停
U+5065,健
U+5074,側
U+50CD,働
U+5104,億
U+5146,兆
U+5150,児
U+5171,共
U+5175,兵
U+5178,典
U+51B7,冷
U+521D,初
U+5225,別
U+5229,利
U+5237,刷
U+526F,副
U+529F,功
U+52A0,加
U+52AA,努
U+52B4,労
U+52C7,勇
U+5305,包
U+5352,卒
U+5354,協
U+5358,単
U+535A,博
U+5370,印
U+53C2,参
U+53F2,史
U+53F8,司
U+5404,各
U+544A,告
U+5468,周
U+5531,唱
U+559C,喜
U+5668,器
U+56F2,囲
U+56FA,固
U+578B,型
U+5802,堂
U+5869,塩
U+58EB,士
U+5909,変
U+592B,夫
U+5931,失
U+597D,好
U+5B63,季
U+5B6B,孫
U+5B8C,完
U+5B98,官
U+5BB3,害
U+5BDF,察
U+5DE3,巣
U+5DEE,差
U+5E0C,希
U+5E2D,席
U+5E2F,帯
U+5E95,底
U+5E9C,府
U+5EB7,康
U+5EFA,建
U+5F84,径
U+5F92,徒
U+5F97,得
U+5FC5,必
U+5FF5,念
U+611B,愛
U+6210,成
U+6226,戦
U+6298,折
U+6319,挙
U+6539,改
U+6551,救
U+6557,敗
U+6563,散
U+6599,料
U+65D7,旗
U+6628,昨
U+666F,景
U+6700,最
U+671B,望
U+672A,未
U+672B,末
U+672D,札
U+6750,材
U+675F,束
U+677E,松
U+679C,果
U+6804,栄
U+6848,案
U+6885,梅
U+68B0,械
U+6975,極
U+6A19,標
U+6A5F,機
U+6B20,欠
U+6B74,歴
U+6B8B,残
U+6BBA,殺
U+6BD2,毒
U+6C0F,氏
U+6C11,民
U+6C42,求
U+6CBB,治
U+6CD5,法
U+6CE3,泣
U+6D45,浅
U+6D74,浴
U+6E05,清
U+6E80,満
U+6F01,漁
U+706F,灯
U+7121,無
U+7136,然
U+713C,焼
U+7167,照
U+71B1,熱
U+7267,牧
U+7279,特
U+7523,産
U+7684,的
U+7701,省
U+795D,祝
U+7968,票
U+7A2E,種
U+7A4D,積
U+7AF6,競
U+7B11,笑
U+7BA1,管
U+7BC0,節
U+7C89,粉
U+7D00,紀
U+7D04,約
U+7D50,結
U+7D66,給
U+7D9A,続
U+7F6E,置
U+8001,老
U+80C3,胃
U+8108,脈
U+8178,腸
U+81E3,臣
U+822A,航
U+826F,良
U+82B8,芸
U+82BD,芽
U+82F1,英
U+83DC,菜
U+8857,街
U+8863,衣
U+8981,要
U+899A,覚
U+89B3,観
U+8A13,訓
U+8A66,試
U+8AAC,説
U+8AB2,課
U+8B70,議
U+8C61,象
U+8CA8,貨
U+8CAF,貯
U+8CBB,費
U+8CDE,賞
U+8ECD,軍
U+8F2A,輪
U+8F9E,辞
U+8FBA,辺
U+9023,連
U+9054,達
U+9078,選
U+90E1,郡
U+91CF,量
U+9332,録
U+93E1,鏡
U+95A2,関
U+9678,陸
U+968A,隊
U+9759,静
U+9806,順
U+9858,願
U+985E,類
U+98DB,飛
U+98EF,飯
U+990A,養
U+9A13,験
