U+4E45,久
U+4ECF,仏
U+4EEE,仮
U+4EF6,件
U+4EFB,任
U+4F3C,似
U+4F59,余
U+4FA1,価
U+4FDD,保
U+4FEE,修
U+4FF5,俵
U+500B,個
U+5099,備
U+50CF,像
U+518D,再
U+520A,刊
U+5224,判
U+5236,制
U+5238,券
U+5247,則
U+52B9,効
U+52D9,務
U+52E2,勢
U+539A,厚
U+53E5,句
U+53EF,可
U+55B6,営
U+56E0,因
U+56E3,団
U+5727,圧
U+5728,在
U+5747,均
U+57FA,基
U+5831,報
U+5883,境
U+5893,墓
U+5897,増
U+5922,夢
U+59BB,妻
U+5A66,婦
U+5BB9,容
U+5BC4,寄
U+5BCC,富
U+5C0E,導
U+5C45,居
U+5C5E,属
U+5E03,布
U+5E2B,師
U+5E38,常
U+5E79,幹
U+5E8F,序
U+5F01,弁
U+5F35,張
U+5F80,往
U+5FA9,復
U+5FB3,徳
U+5FD7,志
U+5FDC,応
U+5FEB,快
U+6027,性
U+6069,恩
U+60C5,情
U+614B,態
U+6163,慣
U+627F,承
U+6280,技
U+62DB,招
U+6388,授
U+63A1,採
U+63A5,接
U+63D0,提
U+640D,損
U+652F,支
U+653F,政
U+6545,故
U+6575,敵
U+65AD,断
U+65E7,旧
U+6613,易
U+66B4,暴
U+6761,条
U+679D,枝
U+67FB,査
U+683C,格
U+685C,桜
U+691C,検
U+69CB,構
U+6B66,武
U+6BD4,比
U+6C38,永
U+6CB3,河
U+6DB2,液
U+6DF7,混
U+6E1B,減
U+6E2C,測
U+6E96,準
U+6F14,演
U+6F54,潔
U+707D,災
U+71C3,燃
U+7248,版
U+72AF,犯
U+72B6,状
U+72EC,独
U+7387,率
U+73FE,現
U+7559,留
U+7565,略
U+76CA,益
U+773C,眼
U+7834,破
U+78BA,確
U+793A,示
U+7956,祖
U+7981,禁
U+79FB,移
U+7A0B,程
U+7A0E,税
U+7BC9,築
U+7CBE,精
U+7D20,素
U+7D4C,経
U+7D71,統
U+7D76,絶
U+7DBF,綿
U+7DCF,総
U+7DE8,編
U+7E3E,績
U+7E54,織
U+7F6A,罪
U+7FA4,群
U+7FA9,義
U+8015,耕
U+8077,職
U+80A5,肥
U+80FD,能
U+8208,興
U+820C,舌
U+820E,舎
U+8853,術
U+885B,衛
U+88FD,製
U+8907,複
U+898F,規
U+89E3,解
U+8A2D,設
U+8A31,許
U+8A3C,証
U+8A55,評
U+8B1B,講
U+8B1D,謝
U+8B58,識
U+8B77,護
U+8C4A,豊
U+8CA1,財
U+8CA7,貧
U+8CAC,責
U+8CB8,貸
U+8CBF,貿
U+8CC0,賀
U+8CC7,資
U+8CDB,賛
U+8CEA,質
U+8F38,輸
U+8FF0,述
U+8FF7,迷
U+9000,退
U+9006,逆
U+9020,造
U+904E,過
U+9069,適
U+9178,酸
U+9271,鉱
U+9285,銅
U+92AD,銭
U+9632,防
U+9650,限
U+967A,険
U+969B,際
U+96D1,雑
U+975E,非
U+9810,預
U+9818,領
U+984D,額
U+98FC,飼
