U+4E26,並
U+4E71,乱
U+4E73,乳
U+4EA1,亡
U+4EC1,仁
U+4F9B,供
U+4FF3,俳
U+5024,値
U+50B7,傷
U+512A,優
U+515A,党
U+518A,冊
U+51E6,処
U+523B,刻
U+5272,割
U+5275,創
U+5287,劇
U+52E4,勤
U+5371,危
U+5375,卵
U+53B3,厳
U+53CE,収
U+540E,后
U+5426,否
U+5438,吸
U+547C,呼
U+5584,善
U+56F0,困
U+5782,垂
U+57CE,城
U+57DF,域
U+594F,奏
U+596E,奮
U+59FF,姿
U+5B58,存
U+5B5D,孝
U+5B85,宅
U+5B87,宇
U+5B97,宗
U+5B99,宙
U+5B9D,宝
U+5BA3,宣
U+5BC6,密
U+5BF8,寸
U+5C02,専
U+5C04,射
U+5C06,将
U+5C0A,尊
U+5C31,就
U+5C3A,尺
U+5C4A,届
U+5C55,展
U+5C64,層
U+5DF1,己
U+5DFB,巻
U+5E55,幕
U+5E72,干
U+5E7C,幼
U+5E81,庁
U+5EA7,座
U+5EF6,延
U+5F8B,律
U+5F93,従
U+5FD8,忘
U+5FE0,忠
U+61B2,憲
U+6211,我
U+6279,批
U+62C5,担
U+62DD,拝
U+62E1,拡
U+6368,捨
U+63A2,探
U+63A8,推
U+63EE,揮
U+64CD,操
U+656C,敬
U+6620,映
U+6669,晩
U+6696,暖
U+66AE,暮
U+6717,朗
U+673A,机
U+679A,枚
U+67D3,染
U+682A,株
U+68D2,棒
U+6A21,模
U+6A29,権
U+6A39,樹
U+6B32,欲
U+6BB5,段
U+6CBF,沿
U+6CC9,泉
U+6D17,洗
U+6D3E,派
U+6E08,済
U+6E90,源
U+6F6E,潮
U+6FC0,激
U+7070,灰
U+719F,熟
U+7247,片
U+73ED,班
U+7570,異
U+7591,疑
U+75DB,痛
U+7687,皇
U+76DB,盛
U+76DF,盟
U+770B,看
U+7802,砂
U+78C1,磁
U+79C1,私
U+79D8,秘
U+7A40,穀
U+7A74,穴
U+7A93,窓
U+7B4B,筋
U+7B56,策
U+7C21,簡
U+7CD6,糖
U+7CFB,系
U+7D05,紅
U+7D0D,納
U+7D14,純
U+7D79,絹
U+7E26,縦
U+7E2E,縮
U+7F72,署
U+7FCC,翌
U+8056,聖
U+80BA,肺
U+80CC,背
U+80F8,胸
U+8133,脳
U+8179,腹
U+81D3,臓
U+81E8,臨
U+81F3,至
U+82E5,若
U+8457,著
U+84B8,蒸
U+8535,蔵
U+8695,蚕
U+8846,衆
U+88C1,裁
U+88C5,装
U+88CF,裏
U+88DC,補
U+8996,視
U+89A7,覧
U+8A0E,討
U+8A2A,訪
U+8A33,訳
U+8A5E,詞
U+8A8C,誌
U+8A8D,認
U+8A95,誕
U+8AA0,誠
U+8AA4,誤
U+8AD6,論
U+8AF8,諸
U+8B66,警
U+8CB4,貴
U+8CC3,賃
U+907A,遺
U+90F5,郵
U+90F7,郷
U+91DD,針
U+92FC,鋼
U+9589,閉
U+95A3,閣
U+964D,降
U+965B,陛
U+9664,除
U+969C,障
U+96E3,難
U+9769,革
U+9802,頂
U+9AA8,骨
